x,target
-0.33450994352037466,-0.26004366767953285
-0.9813499521045732,-0.9633890658425474
0.05665875467896431,0.06005085591552489
-0.6616310423352942,-0.5135081240086463
0.5190400811257567,0.9282734373185133
-0.7451655512715492,-0.6036631940128738
0.5197658078878584,0.9303404118426377
-0.21219615712026574,-0.17672354875980822
0.7329680992252938,1.6639917531390114
-0.2592243776853509,-0.2094462722671565
0.9327919161136882,2.6145156288630207
0.4464001435765157,0.7346287669384289
-0.24946220952954246,-0.20275519659137392
-0.6076323123954173,-0.46276348126089906
-0.7863300203611514,-0.6542146880709285
-0.9493036318608243,-0.9036172113686339
-0.32912615743470175,-0.25645440085844046
-0.12044364589183387,-0.1076842105017666
0.1624376608479694,0.19310973359929495
0.24248949027238065,0.3155493047572846
