x,target
-1.0,1.5
-0.9,1.43453591160221
-0.8,1.346536585365854
-0.7000000000000001,1.2489463087248323
-0.6000000000000001,1.1545882352941177
-0.5000000000000001,1.0750000000000002
-0.40000000000000013,1.0187586206896553
-0.30000000000000016,0.9895137614678898
-0.20000000000000018,0.9843076923076924
-0.1000000000000002,0.993059405940594
-2.220446049250313e-16,1.0
0.09999999999999964,0.9871386138613862
0.19999999999999973,0.938769230769231
0.2999999999999998,0.8453486238532113
0.3999999999999997,0.7053793103448281
0.49999999999999956,0.5250000000000009
0.5999999999999996,0.31600000000000084
0.6999999999999997,0.0933355704697993
0.7999999999999996,-0.12702439024390172
0.8999999999999995,-0.3295635359116013
