v,target
27.45744829892783,668.7859936639463
49.914997255218935,1214.5044333018202
-0.15271933034821927,-2.1410797274617286
-32.147557507928624,-779.6156474426656
-15.240598195003315,-368.7765361385806
10.328152263605752,252.54410000561975
4.390443582177106,108.25777904690366
-22.307273609897315,-540.4967487205047
-18.235658236128494,-441.5564951379224
43.5501243179328,1059.838020925767
-34.2696909867645,-831.1834909783773
5.574565704577374,137.0319466212302
46.64880092319325,1135.135862433596
6.771023446609448,166.10586975260958
32.43580980174406,789.7601781823806
-20.269988782203896,-490.9907274075547
25.47914059602519,620.7131164834121
0.8688534209226759,22.683138128421025
25.645541457570715,624.7566574189684
44.51555088874588,1083.297886596525
29.971211492465713,729.870439266917
-7.184177625699327,-173.00551630449365
-2.491515748723927,-58.973832693991426
34.85579923669526,848.565921451695
-20.047050443734637,-485.5733257827517
-15.05146268229641,-364.1805431798028
8.060309488731008,197.4355205761635
-1.0159169924632394,-23.116782916856717
-34.45275412350216,-835.6319252011025
31.329387150824672,762.8741077650396
-6.283817062120335,-151.12675460952414
-42.337594879859594,-1027.2335555805882
-30.322851667739638,-735.2752955260731
11.127196914200951,271.96088501508314
16.98256552898141,414.24634235424827
33.16696958351504,807.5273608794156
4.74315327086574,116.82862448203748
-26.717226100396008,-647.658594239623
-38.23196574156675,-927.466767520072
-28.180353794573577,-683.2125972081379
14.816918051977538,361.6211086630542
-46.94253936334574,-1139.1337065293014
-48.045876042411926,-1165.9447878306098
-39.29888642105812,-953.3929400317123
-26.33485782129439,-638.3670450574537
-23.28306604471557,-564.2085048865883
37.96245811126278,924.0577321036856
-26.833332919215447,-650.4799899369353
-14.303268431616878,-345.99942288829016
26.46988587635846,644.7882267955107
-32.57598783079286,-790.0265042882666
30.063531018960248,732.1138037607341
41.87766601779458,1019.1972842324084
-27.48746366126893,-666.3753669688349
-9.669693916110091,-233.40356216147524
34.631851636675975,843.1239947712263
-49.913582000001156,-1211.3300426000283
9.75173412107192,238.53713914204764
-9.475068579031557,-228.67416647046684
-36.71371930565416,-890.573379127396
-14.738374966610145,-356.57251168862655
48.0130579300595,1168.2873077004458
15.497722114189159,378.1646473747966
-34.3579805178853,-833.3289265846129
8.734207348025855,213.81123855702828
-48.08384760573775,-1166.8674968194275
45.22891987952838,1100.6327530725396
-13.123667997055087,-317.33513232843865
19.834215017603142,483.5414249277564
-4.571719663076202,-109.52278781275172
1.9938395795113664,50.020301782126204
-3.313048628071236,-78.93708166213105
-33.08884663045217,-802.4889731199877
-20.10753024187888,-487.0429848776568
-22.7304537226373,-550.7800254600863
18.250196990405115,445.04978686684433
-26.54219681853235,-643.4053826903361
-21.585187246002913,-522.9500500778707
40.054614432524446,974.8971307103441
-17.87846809487712,-432.87677470551404
-18.782253512460866,-454.83876035279906
36.83722401476379,896.7145435587602
-20.71456636767177,-501.7939627344241
-24.031927952254495,-582.4058492397842
34.73717191907281,845.6832776334693
-19.672471553220994,-476.4710587432702
7.571549391596079,185.55865021578472
0.1284953553686492,4.692437135458175
-22.651339434763408,-548.8575482647508
9.372364606488702,229.31845993767547
-48.03473005336565,-1165.6739402967853
5.225079051819627,128.53942095921693
-40.89598116850499,-992.2023423946712
44.72088534047438,1088.2875137735275
-39.37580708238432,-955.2621121019389
