x,target
1,1.0
2,1.5
3,1.8333333333333333
4,2.083333333333333
5,2.283333333333333
6,2.4499999999999997
7,2.5928571428571425
8,2.7178571428571425
9,2.8289682539682537
10,2.9289682539682538
11,3.0198773448773446
12,3.103210678210678
13,3.180133755133755
14,3.251562326562327
15,3.3182289932289937
16,3.3807289932289937
17,3.439552522640758
18,3.4951080781963135
19,3.547739657143682
20,3.597739657143682
21,3.6453587047627294
22,3.690813250217275
23,3.73429151108684
24,3.775958177753507
25,3.815958177753507
26,3.8544197162150455
27,3.8914567532520827
28,3.9271710389663683
29,3.961653797587058
30,3.994987130920391
31,4.02724519543652
32,4.05849519543652
33,4.08879822573955
34,4.118209990445433
35,4.146781419016861
36,4.174559196794639
37,4.201586223821666
38,4.22790201329535
39,4.2535430389363755
40,4.278543038936376
41,4.302933282838815
42,4.326742806648339
43,4.349998620601827
44,4.3727258933290996
45,4.394948115551322
46,4.416687245986104
47,4.4379638417307845
48,4.458797175064118
49,4.479205338329424
